year;2011;2012;2013;2014;2015;2016;2017;2018;2019;TOTAL
Madagascar;1;3;7;1;6;17;84;23558;127579;151256
Philippines;6520;1509;4855;53906;2021;647;2407;22790;47722;142377
Brazil;0;2;192;708;214;0;0;10326;17211;28653
India;0;0;0;80306;83026;70798;61288;75162;7367;377947
United_States_of_America;0;55;188;668;208;80;120;372;1282;2973
Canada;0;9;83;418;196;11;41;28;113;899
;;;;;;;;;;
;;;;;;;;;;
year;Madagascar;Philippines;Brazil;India;United_States_of_America;Canada;year,Madagascar,Philippines,Brazil,India,United_States_of_America,Canada;;;
2011;1;6520;0;0;0;0;2011,1,6520,0,0,0,0;;;
2012;3;1509;2;0;55;9;2012,3,1509,2,0,55,9;;;
2013;7;4855;192;0;188;83;2013,7,4855,192,0,188,83;;;
2014;1;53906;708;80306;668;418;2014,1,53906,708,80306,668,418;;;
2015;6;2021;214;83026;208;196;2015,6,2021,214,83026,208,196;;;
2016;17;647;0;70798;80;11;2016,17,647,0,70798,80,11;;;
2017;84;2407;0;61288;120;41;2017,84,2407,0,61288,120,41;;;
2018;23558;22790;10326;75162;372;28;2018,23558,22790,10326,75162,372,28;;;
2019;127579;47722;17211;7367;1282;113;2019,127579,47722,17211,7367,1282,113;;;
TOTAL;151256;142377;28653;377947;2973;899;TOTAL,151256,142377,28653,377947,2973,899;;;